OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001330,Sample-Routine,Water,Surface Water,1990-01-09,08:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05440000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001330,Sample-Routine,Water,Surface Water,1990-01-09,08:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05440000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.99000205,Sample-Routine,Water,Surface Water,1990-01-10,10:40:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001007,Sample-Routine,Water,Surface Water,1990-01-10,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05572125,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001007,Sample-Routine,Water,Surface Water,1990-01-10,09:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05572125,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000886,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05540095,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000886,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05540095,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000276,Sample-Routine,Water,Surface Water,1990-01-09,11:10:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208500,,,"Stable, normal stage",Regulated flow,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000276,Sample-Routine,Water,Surface Water,1990-01-09,11:10:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208500,,,"Stable, normal stage",Regulated flow,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.99000200,Sample-Routine,Water,Surface Water,1990-01-09,10:45:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11264500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000882,Sample-Routine,Water,Surface Water,1990-01-09,13:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05539900,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000882,Sample-Routine,Water,Surface Water,1990-01-09,13:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05539900,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000627,Not determined,Water,Groundwater,1990-01-09,15:15:00,EST,,,,,,,,,,,,,USGS-405519078225002,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000105,Sample-Routine,Water,Surface Water,1990-01-10,09:40:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-05587455,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001180,Sample-Routine,Water,Surface Water,1990-01-10,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05597280,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001180,Sample-Routine,Water,Surface Water,1990-01-10,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05597280,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000130,Sample-Routine,Water,Surface Water,1990-01-03,10:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000114,Sample-Routine,Water,Surface Water,1990-01-09,07:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07053700,HG RR W/ 10X DLTN. VALUE BAD.,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-MO,USGS Missouri Water Science Center,nwismo.01.99000114,Sample-Routine,Water,Surface Water,1990-01-09,07:15:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07053700,HG RR W/ 10X DLTN. VALUE BAD.,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,1.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000136,Sample-Routine,Water,Surface Water,1990-01-05,08:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-303159091512700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,O,USGS,,,,,,Lower Quantitation Limit,1.,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000136,Sample-Routine,Water,Surface Water,1990-01-05,08:30:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-303159091512700,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,O,USGS,,,,,,Lower Quantitation Limit,1.,ug/l,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99004266,Sample-Routine,Water,Surface Water,1990-01-03,14:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214620760,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,2,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000631,Not determined,Water,Groundwater,1990-01-09,16:25:00,EST,,,,,,,,,,,,,USGS-405523078224704,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,4,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000707,Sample-Routine,Water,Surface Water,1990-01-08,13:00:00,EST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03341414,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000707,Sample-Routine,Water,Surface Water,1990-01-08,13:00:00,EST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03341414,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-OK,USGS Oklahoma Water Science Center,nwisok.01.99000335,Sample-Routine,Water,Surface Water,1990-01-09,11:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07196500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Accepted,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-NY,USGS New York Water Science Center,nwisny.01.99002142,Sample-Routine,Water,Surface Water,1990-01-03,19:15:00,EST,1990-01-05,09:15:59,EST,,,,,,,,,"Monroe County Health Department, New York",USGS-0423205010,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-OK,USGS Oklahoma Water Science Center,nwisok.01.99000314,Sample-Routine,Water,Surface Water,1990-01-04,16:00:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07249413,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000733,Sample-Routine,Water,Surface Water,1990-01-04,08:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03378635,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000733,Sample-Routine,Water,Surface Water,1990-01-04,08:30:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03378635,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001192,Sample-Routine,Water,Surface Water,1990-01-08,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05599540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001192,Sample-Routine,Water,Surface Water,1990-01-08,08:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05599540,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-KS,USGS Kansas Water Science Center,nwisks.01.99000131,Sample-Routine,Water,Surface Water,1990-01-09,12:35:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-06887000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF078,USGS,"Lead, LIS, GFAAS","USGS TWRI 5-A1/1989, p 249",,,,Historical Lower Reporting Limit,0.5,ug/l,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99000818,Sample-Routine,Water,Surface Water,1990-01-02,10:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0214632322,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Lower Quantitation Limit,100,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000751,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03381400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000751,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-03381400,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000626,Not determined,Water,Groundwater,1990-01-09,14:45:00,EST,,,,,,,,,,,,,USGS-405519078225001,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000723,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-03345500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99000723,Sample-Routine,Water,Surface Water,1990-01-10,12:00:00,CST,,,,,,,,,,,,USGS - Illinois Water Science Center,USGS-03345500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000074,Sample-Routine,Water,Surface Water,1990-01-03,12:00:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08349800,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Dissolved,1,ug/l,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.99000074,Sample-Routine,Water,Surface Water,1990-01-03,12:00:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08349800,HG RR W/ 10X DLTN. ORIG. VALUE BAD.,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000278,Sample-Routine,Water,Surface Water,1990-01-10,13:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208990,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000278,Sample-Routine,Water,Surface Water,1990-01-10,13:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208990,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Lead,Recoverable,2.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.99000278,Sample-Routine,Water,Groundwater,1990-01-03,11:00:00,EST,,,,,,Below land-surface datum,12,feet,15,feet,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-383855075135702,BALANCES W/NUTRIENTS ADDED,Columbia Group,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.99000201,Sample-Routine,Water,Surface Water,1990-01-05,13:20:00,PST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11530500,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.99000797,Not determined,Water,Groundwater,1990-01-09,17:10:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-405525078224203,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,4,ug/l,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.99000267,Sample-Routine,Water,Groundwater,1990-01-09,11:00:00,EST,,,,,,Below land-surface datum,,,565,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-391647077005801,,Sykesville Formation,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,10,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000277,Sample-Routine,Water,Surface Water,1990-01-09,13:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208736,,,Falling stage,Tidal action,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,GF089,USGS,"Lead, wf, GF-AAS","USGS OF 93-125, p 87",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-CT,USGS Connecticut Water Science Center,nwisma.01.99000277,Sample-Routine,Water,Surface Water,1990-01-09,13:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01208736,,,Falling stage,Tidal action,USGS,USGS,USGS,Unknown,,Lead,Recoverable,3.0,ug/l,,Historical,,Actual,,,,,,,01051,,,,,,GF100,USGS,"Lead, wu, GF-AAS","USGS OF 93-125, p 87",,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001166,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595730,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001166,Sample-Routine,Water,Surface Water,1990-01-09,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05595730,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-AR,USGS Arkansas Water Science Center,nwisar.01.99000744,Sample-Routine,Water,Surface Water,1990-01-10,13:10:00,CST,,,,96,feet,,,,,,,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS-07049500,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000135,Sample-Routine,Water,Surface Water,1990-01-08,14:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07374120,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,O,USGS,,,,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.99000135,Sample-Routine,Water,Surface Water,1990-01-08,14:45:00,CST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-07374120,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,O,USGS,,,,,,Lower Quantitation Limit,1.,ug/l,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.99000051,Sample-Routine,Water,Surface Water,1990-01-10,14:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-04045580,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,1,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001016,Sample-Routine,Water,Surface Water,1990-01-04,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05573650,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Dissolved,,,,Historical,,Actual,,,,,,,01049,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
USGS-IL,USGS Illinois Water Science Center,nwisil.01.99001016,Sample-Routine,Water,Surface Water,1990-01-04,12:00:00,CST,,,,,,,,,,,,Illinois Environmental Protection Agency (IEPA),USGS-05573650,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Lead,Recoverable,,,,Historical,,Actual,,,,,,,01051,,,,,,,,,,,,,Historical Lower Reporting Limit,5,ug/l,,NWIS
